zip_code,country,nuts1,nuts2,nuts3,numnuts,nuts_code
3582,BE,2,2,1,1,BE22
3583,BE,2,2,1,1,BE22
3590,BE,2,2,1,1,BE22
3600,BE,2,2,1,1,BE22
3620,BE,2,2,3,1,BE22
3621,BE,2,2,3,1,BE22
3630,BE,2,2,3,1,BE22
3631,BE,2,2,3,1,BE22
3640,BE,2,2,2,1,BE22
3650,BE,2,2,2,1,BE22
3660,BE,2,2,1,1,BE22
3665,BE,2,2,1,1,BE22
3668,BE,2,2,1,1,BE22
3670,BE,2,2,2,1,BE22
3680,BE,2,2,2,1,BE22
3690,BE,2,2,1,1,BE22
3700,BE,2,2,3,1,BE22
3717,BE,2,2,3,1,BE22
3720,BE,2,2,3,1,BE22
3721,BE,2,2,3,1,BE22
3722,BE,2,2,3,1,BE22
3723,BE,2,2,3,1,BE22
3724,BE,2,2,3,1,BE22
3730,BE,2,2,3,1,BE22
3732,BE,2,2,3,1,BE22
3740,BE,2,2,3,1,BE22
3742,BE,2,2,3,1,BE22
3746,BE,2,2,3,1,BE22
3770,BE,2,2,3,1,BE22
3790,BE,2,2,3,1,BE22
3791,BE,2,2,3,1,BE22
3792,BE,2,2,3,1,BE22
3793,BE,2,2,3,1,BE22
3798,BE,2,2,3,1,BE22
3800,BE,2,2,1,1,BE22
3803,BE,2,2,1,1,BE22
3806,BE,2,2,1,1,BE22
3830,BE,2,2,3,1,BE22
3831,BE,2,2,3,1,BE22
3832,BE,2,2,3,1,BE22
3840,BE,2,2,3,1,BE22
3850,BE,2,2,1,1,BE22
3870,BE,2,2,3,1,BE22
3890,BE,2,2,1,1,BE22
3891,BE,2,2,1,1,BE22
3900,BE,2,2,2,1,BE22
3910,BE,2,2,2,1,BE22
3920,BE,2,2,2,1,BE22
3930,BE,2,2,2,1,BE22
3940,BE,2,2,2,1,BE22
3941,BE,2,2,2,1,BE22
3945,BE,2,2,1,1,BE22
3950,BE,2,2,2,1,BE22
3960,BE,2,2,2,1,BE22
3970,BE,2,2,1,1,BE22
3971,BE,2,2,1,1,BE22
3980,BE,2,2,1,1,BE22
3990,BE,2,2,2,1,BE22
4000,BE,3,3,2,1,BE33
4020,BE,3,3,2,1,BE33
4030,BE,3,3,2,1,BE33
4031,BE,3,3,2,1,BE33
4032,BE,3,3,2,1,BE33
4040,BE,3,3,2,1,BE33
4041,BE,3,3,2,1,BE33
4042,BE,3,3,2,1,BE33
4050,BE,3,3,2,1,BE33
4051,BE,3,3,2,1,BE33
4052,BE,3,3,2,1,BE33
4053,BE,3,3,2,1,BE33
4100,BE,3,3,2,1,BE33
4101,BE,3,3,2,1,BE33
4102,BE,3,3,2,1,BE33
4120,BE,3,3,2,1,BE33
4121,BE,3,3,2,1,BE33
4122,BE,3,3,2,1,BE33
4130,BE,3,3,2,1,BE33
4140,BE,3,3,2,1,BE33
4141,BE,3,3,2,1,BE33
4160,BE,3,3,1,1,BE33
4161,BE,3,3,1,1,BE33
4162,BE,3,3,1,1,BE33
4163,BE,3,3,1,1,BE33
4170,BE,3,3,2,1,BE33
4171,BE,3,3,2,1,BE33
4180,BE,3,3,1,1,BE33
4181,BE,3,3,1,1,BE33
4190,BE,3,3,1,1,BE33
4210,BE,3,3,1,1,BE33
4217,BE,3,3,1,1,BE33
4218,BE,3,3,1,1,BE33
4219,BE,3,3,4,1,BE33
4250,BE,3,3,4,1,BE33
4252,BE,3,3,4,1,BE33
4253,BE,3,3,4,1,BE33
4254,BE,3,3,4,1,BE33
4257,BE,3,3,4,1,BE33
4260,BE,3,3,4,1,BE33
4261,BE,3,3,4,1,BE33
4263,BE,3,3,4,1,BE33
4280,BE,3,3,4,1,BE33
4287,BE,3,3,4,1,BE33
4300,BE,3,3,4,1,BE33
4317,BE,3,3,4,1,BE33
4340,BE,3,3,2,1,BE33
4342,BE,3,3,2,1,BE33
4347,BE,3,3,4,1,BE33
4350,BE,3,3,4,1,BE33
4351,BE,3,3,4,1,BE33
4357,BE,3,3,4,1,BE33
4360,BE,3,3,4,1,BE33
4367,BE,3,3,4,1,BE33
4400,BE,3,3,2,1,BE33
4420,BE,?,?,?,2,BE23 BE33
4430,BE,3,3,2,1,BE33
4431,BE,3,3,2,1,BE33
4432,BE,3,3,2,1,BE33
4450,BE,3,3,2,1,BE33
4451,BE,3,3,2,1,BE33
4452,BE,3,3,2,1,BE33
4453,BE,3,3,2,1,BE33
4458,BE,3,3,2,1,BE33
4460,BE,3,3,2,1,BE33
4470,BE,3,3,4,1,BE33
4480,BE,3,3,1,1,BE33
4500,BE,3,3,1,1,BE33
4520,BE,3,3,1,1,BE33
4530,BE,3,3,1,1,BE33
4537,BE,3,3,1,1,BE33
4540,BE,3,3,1,1,BE33
4550,BE,3,3,1,1,BE33
4557,BE,3,3,1,1,BE33
4560,BE,3,3,1,1,BE33
4570,BE,3,3,1,1,BE33
4577,BE,3,3,1,1,BE33
4590,BE,3,3,1,1,BE33
4600,BE,3,3,2,1,BE33
4601,BE,3,3,2,1,BE33
4602,BE,3,3,2,1,BE33
4606,BE,3,3,2,1,BE33
4607,BE,3,3,2,1,BE33
4608,BE,3,3,2,1,BE33
4610,BE,3,3,2,1,BE33
4620,BE,3,3,2,1,BE33
4621,BE,3,3,2,1,BE33
4623,BE,3,3,2,1,BE33
4624,BE,3,3,2,1,BE33
4630,BE,3,3,2,1,BE33
4631,BE,3,3,2,1,BE33
4632,BE,3,3,2,1,BE33
4633,BE,3,3,2,1,BE33
4650,BE,3,3,5,1,BE33
4651,BE,3,3,5,1,BE33
4652,BE,3,3,5,1,BE33
4653,BE,3,3,5,1,BE33
4654,BE,3,3,5,1,BE33
4670,BE,3,3,2,1,BE33
4671,BE,3,3,2,1,BE33
4672,BE,3,3,2,1,BE33
4680,BE,3,3,2,1,BE33
4681,BE,3,3,2,1,BE33
4682,BE,3,3,2,1,BE33
4683,BE,3,3,2,1,BE33
4684,BE,3,3,2,1,BE33
4690,BE,3,3,2,1,BE33
4700,BE,3,3,6,1,BE33
4701,BE,3,3,6,1,BE33
4710,BE,3,3,6,1,BE33
4711,BE,3,3,6,1,BE33
4720,BE,3,3,6,1,BE33
4721,BE,3,3,6,1,BE33
4728,BE,3,3,6,1,BE33
4730,BE,3,3,6,1,BE33
4731,BE,3,3,6,1,BE33
4750,BE,3,3,6,1,BE33
4760,BE,3,3,6,1,BE33
4761,BE,3,3,6,1,BE33
4770,BE,3,3,6,1,BE33
4771,BE,3,3,6,1,BE33
4780,BE,3,3,6,1,BE33
4782,BE,3,3,6,1,BE33
4783,BE,3,3,6,1,BE33
4784,BE,3,3,6,1,BE33
4790,BE,3,3,6,1,BE33
4791,BE,3,3,6,1,BE33
4800,BE,3,3,5,1,BE33
4801,BE,3,3,5,1,BE33
4802,BE,3,3,5,1,BE33
4820,BE,3,3,5,1,BE33
4821,BE,3,3,5,1,BE33
4830,BE,3,3,5,1,BE33
4831,BE,3,3,5,1,BE33
4834,BE,3,3,5,1,BE33
4837,BE,3,3,5,1,BE33
4840,BE,3,3,5,1,BE33
4841,BE,3,3,5,1,BE33
4845,BE,3,3,5,1,BE33
4850,BE,3,3,5,1,BE33
4851,BE,3,3,5,1,BE33
4852,BE,3,3,5,1,BE33
4860,BE,3,3,5,1,BE33
4861,BE,3,3,5,1,BE33
4870,BE,3,3,2,1,BE33
4877,BE,3,3,5,1,BE33
4880,BE,3,3,5,1,BE33
4890,BE,3,3,5,1,BE33
4900,BE,3,3,5,1,BE33
4910,BE,3,3,5,1,BE33
4920,BE,3,3,2,1,BE33
4950,BE,3,3,5,1,BE33
4960,BE,3,3,5,1,BE33
4970,BE,3,3,5,1,BE33
4980,BE,3,3,5,1,BE33
4983,BE,3,3,5,1,BE33
4987,BE,3,3,5,1,BE33
4990,BE,3,3,5,1,BE33
5000,BE,3,5,2,1,BE35
5001,BE,3,5,2,1,BE35
5002,BE,3,5,2,1,BE35
5003,BE,3,5,2,1,BE35
5004,BE,3,5,2,1,BE35
5020,BE,3,5,2,1,BE35
5021,BE,3,5,2,1,BE35
5022,BE,3,5,2,1,BE35
5024,BE,3,5,2,1,BE35
5030,BE,3,5,2,1,BE35
5031,BE,3,5,2,1,BE35
5032,BE,3,5,2,1,BE35
5060,BE,3,5,2,1,BE35
5070,BE,3,5,2,1,BE35
5080,BE,3,5,2,1,BE35
5081,BE,3,5,2,1,BE35
5100,BE,3,5,2,1,BE35
5101,BE,3,5,2,1,BE35
5140,BE,3,5,2,1,BE35
5150,BE,3,5,2,1,BE35
5170,BE,3,5,2,1,BE35
5190,BE,3,5,2,1,BE35
5300,BE,3,5,2,1,BE35
5310,BE,3,5,2,1,BE35
5330,BE,3,5,2,1,BE35
5332,BE,3,5,2,1,BE35
5333,BE,3,5,2,1,BE35
5334,BE,3,5,2,1,BE35
5336,BE,3,5,2,1,BE35
5340,BE,3,5,2,1,BE35
5350,BE,3,5,2,1,BE35
5351,BE,3,5,2,1,BE35
5352,BE,3,5,2,1,BE35
5353,BE,3,5,2,1,BE35
5354,BE,3,5,2,1,BE35
5360,BE,3,5,1,1,BE35
5361,BE,3,5,1,1,BE35
5362,BE,3,5,1,1,BE35
5363,BE,3,5,1,1,BE35
5364,BE,3,5,1,1,BE35
5370,BE,3,5,1,1,BE35
5372,BE,3,5,1,1,BE35
5374,BE,3,5,1,1,BE35
5376,BE,3,5,1,1,BE35
5377,BE,3,5,1,1,BE35
5380,BE,3,5,2,1,BE35
5500,BE,3,5,1,1,BE35
5501,BE,3,5,1,1,BE35
5502,BE,3,5,1,1,BE35
5503,BE,3,5,1,1,BE35
5504,BE,3,5,1,1,BE35
5520,BE,3,5,1,1,BE35
5521,BE,3,5,1,1,BE35
5522,BE,3,5,1,1,BE35
5523,BE,3,5,1,1,BE35
5524,BE,3,5,1,1,BE35
5530,BE,3,5,1,1,BE35
5537,BE,3,5,1,1,BE35
5540,BE,3,5,1,1,BE35
5541,BE,3,5,1,1,BE35
5542,BE,3,5,1,1,BE35
5543,BE,3,5,1,1,BE35
5544,BE,3,5,1,1,BE35
5550,BE,3,5,1,1,BE35
5555,BE,3,5,1,1,BE35
5560,BE,3,5,1,1,BE35
5561,BE,3,5,1,1,BE35
5562,BE,3,5,1,1,BE35
5563,BE,3,5,1,1,BE35
5564,BE,3,5,1,1,BE35
5570,BE,3,5,1,1,BE35
5571,BE,3,5,1,1,BE35
5572,BE,3,5,1,1,BE35
5573,BE,3,5,1,1,BE35
5574,BE,3,5,1,1,BE35
5575,BE,3,5,1,1,BE35
5576,BE,3,5,1,1,BE35
5580,BE,3,5,1,1,BE35
5590,BE,3,5,1,1,BE35
5600,BE,3,5,3,1,BE35
5620,BE,3,5,3,1,BE35
5621,BE,3,5,3,1,BE35
5630,BE,3,5,3,1,BE35
5640,BE,3,5,2,1,BE35
5641,BE,3,5,2,1,BE35
5644,BE,3,5,2,1,BE35
5646,BE,3,5,2,1,BE35
5650,BE,3,5,3,1,BE35
5651,BE,3,5,3,1,BE35
5660,BE,3,5,3,1,BE35
5670,BE,3,5,3,1,BE35
5680,BE,3,5,3,1,BE35
6000,BE,3,2,2,1,BE32
6001,BE,3,2,2,1,BE32
6010,BE,3,2,2,1,BE32
6020,BE,3,2,2,1,BE32
6030,BE,3,2,2,1,BE32
6031,BE,3,2,2,1,BE32
6032,BE,3,2,2,1,BE32
6040,BE,3,2,2,1,BE32
6041,BE,3,2,2,1,BE32
6042,BE,3,2,2,1,BE32
6043,BE,3,2,2,1,BE32
6044,BE,3,2,2,1,BE32
6060,BE,3,2,2,1,BE32
6061,BE,3,2,2,1,BE32
6110,BE,3,2,2,1,BE32
6111,BE,3,2,2,1,BE32
6120,BE,3,2,6,1,BE32
6140,BE,3,2,2,1,BE32
6141,BE,3,2,2,1,BE32
6142,BE,3,2,2,1,BE32
6150,BE,3,2,6,1,BE32
6180,BE,3,2,2,1,BE32
6181,BE,3,2,2,1,BE32
6182,BE,3,2,2,1,BE32
6183,BE,3,2,2,1,BE32
6200,BE,3,2,2,1,BE32
6210,BE,3,2,2,1,BE32
6211,BE,3,2,2,1,BE32
6220,BE,3,2,2,1,BE32
6221,BE,3,2,2,1,BE32
6222,BE,3,2,2,1,BE32
6223,BE,3,2,2,1,BE32
6224,BE,3,2,2,1,BE32
6230,BE,3,2,2,1,BE32
6238,BE,3,2,2,1,BE32
6240,BE,3,2,2,1,BE32
6250,BE,3,2,2,1,BE32
6280,BE,3,2,2,1,BE32
6440,BE,3,2,6,1,BE32
6441,BE,3,2,6,1,BE32
6460,BE,3,2,6,1,BE32
6461,BE,3,2,6,1,BE32
6462,BE,3,2,6,1,BE32
6463,BE,3,2,6,1,BE32
6464,BE,3,2,6,1,BE32
6470,BE,3,2,6,1,BE32
6500,BE,3,2,6,1,BE32
6511,BE,3,2,6,1,BE32
6530,BE,3,2,6,1,BE32
6531,BE,3,2,6,1,BE32
6532,BE,3,2,6,1,BE32
6533,BE,3,2,6,1,BE32
6534,BE,3,2,6,1,BE32
6536,BE,3,2,6,1,BE32
6540,BE,3,2,6,1,BE32
6542,BE,3,2,6,1,BE32
6543,BE,3,2,6,1,BE32
6560,BE,3,2,6,1,BE32
6567,BE,3,2,6,1,BE32
6590,BE,3,2,6,1,BE32
6591,BE,3,2,6,1,BE32
6592,BE,3,2,6,1,BE32
6593,BE,3,2,6,1,BE32
6594,BE,3,2,6,1,BE32
6596,BE,3,2,6,1,BE32
6600,BE,3,4,2,1,BE34
6630,BE,3,4,1,1,BE34
6637,BE,3,4,2,1,BE34
6640,BE,3,4,2,1,BE34
6642,BE,3,4,2,1,BE34
6660,BE,3,4,2,1,BE34
6661,BE,3,4,2,1,BE34
6662,BE,3,4,2,1,BE34
6663,BE,3,4,2,1,BE34
6666,BE,3,4,2,1,BE34
6670,BE,3,4,2,1,BE34
6671,BE,3,4,2,1,BE34
6672,BE,3,4,2,1,BE34
6673,BE,3,4,2,1,BE34
6674,BE,3,4,2,1,BE34
6680,BE,3,4,2,1,BE34
6681,BE,3,4,2,1,BE34
6686,BE,3,4,2,1,BE34
6687,BE,3,4,2,1,BE34
6688,BE,3,4,2,1,BE34
6690,BE,3,4,2,1,BE34
6692,BE,3,4,2,1,BE34
6698,BE,3,4,2,1,BE34
6700,BE,3,4,1,1,BE34
6704,BE,3,4,1,1,BE34
6706,BE,3,4,1,1,BE34
6717,BE,3,4,1,1,BE34
6720,BE,3,4,5,1,BE34
6721,BE,3,4,5,1,BE34
6723,BE,3,4,5,1,BE34
6724,BE,3,4,5,1,BE34
6730,BE,3,4,5,1,BE34
6740,BE,3,4,5,1,BE34
6741,BE,3,4,5,1,BE34
6742,BE,3,4,5,1,BE34
6743,BE,3,4,5,1,BE34
6747,BE,3,4,5,1,BE34
6750,BE,3,4,5,1,BE34
6760,BE,3,4,5,1,BE34
6761,BE,3,4,5,1,BE34
6762,BE,3,4,5,1,BE34
6767,BE,3,4,5,1,BE34
6769,BE,3,4,5,1,BE34
6780,BE,3,4,1,1,BE34
6781,BE,3,4,1,1,BE34
6782,BE,3,4,1,1,BE34
6790,BE,3,4,1,1,BE34
6791,BE,3,4,1,1,BE34
6792,BE,3,4,1,1,BE34
6800,BE,3,4,4,1,BE34
6810,BE,3,4,5,1,BE34
6811,BE,3,4,5,1,BE34
6812,BE,3,4,5,1,BE34
6813,BE,3,4,5,1,BE34
6820,BE,3,4,5,1,BE34
6821,BE,3,4,5,1,BE34
6823,BE,3,4,5,1,BE34
6824,BE,3,4,5,1,BE34
6830,BE,3,4,4,1,BE34
6831,BE,3,4,4,1,BE34
6832,BE,3,4,4,1,BE34
6833,BE,3,4,4,1,BE34
6834,BE,3,4,4,1,BE34
6836,BE,3,4,4,1,BE34
6838,BE,3,4,4,1,BE34
6840,BE,3,4,4,1,BE34
6850,BE,3,4,4,1,BE34
6851,BE,3,4,4,1,BE34
6852,BE,3,4,4,1,BE34
6853,BE,3,4,4,1,BE34
6856,BE,3,4,4,1,BE34
6860,BE,3,4,4,1,BE34
6870,BE,3,4,4,1,BE34
6880,BE,3,4,4,1,BE34
6887,BE,3,4,4,1,BE34
6890,BE,3,4,4,1,BE34
6900,BE,3,4,3,1,BE34
6920,BE,3,4,4,1,BE34
6921,BE,3,4,4,1,BE34
6922,BE,3,4,4,1,BE34
6924,BE,3,4,4,1,BE34
6927,BE,3,4,4,1,BE34
6929,BE,3,4,4,1,BE34
6940,BE,3,4,3,1,BE34
6941,BE,3,4,3,1,BE34
6950,BE,3,4,3,1,BE34
6951,BE,3,4,3,1,BE34
